Rank,Name,Location,DetailUrl,Website,Description,Price_Tier
11,Wing,Hong Kong,https://www.theworlds50best.com/the-list/wing.html,http://wingrestaurant.hk/,"The backstory: What grew out of an invite-only, midnight-supper test kitchen at chef-owner Vicky Cheng’s debut Hong Kong venue, Vea, became his ‘boundary-less’ Chinese fine-dining establishment, Wing, located just one floor below. With a 20-year background in French classical cooking, Cheng never planned to open a Chinese restaurant, but after returning to his birthplace of Hong Kong, he found himself gravitating towards local tastes. Why Wing? Drawing inspiration from Cheng’s Chinese name, Wing represents hope and perseverance – sentiments that reflect the chef’s pride for China’s heritage coupled with a desire to share the untold stories of its abundant culinary history; an expedition diners traverse through the seasonal tasting menu. Tradition made new: Wing’s fare serves as an homage to the eight great Chinese cuisines, innovatively respecting tradition through a no-rules contemporary interpretation. Think dry-aged crispy Cantonese chicken – a recipe that took more than 80 trials to perfect; smoked pigeon with sugarcane; and a pork belly-like slab of braised sea cucumber enveloped in a puffed spring roll. Don’t forget the fruit trolley service for the final sweet treat.",4
12,Atomix,New York,https://www.theworlds50best.com/the-list/atomix.html,https://www.atomixnyc.com/,"K-wave: If food is the ultimate window into culture, and Korean culture is increasingly prevalent and valued internationally, then Atomix in New York provides the ultimate gastronomic manifestation of the K-wave phenomenon. This is Korean dining at its very finest: sophisticated and flavoursome food, with dishes grounded in heritage, but distinct and innovative. Unlikely location: Arrive outside Atomix and you might be forgiven for thinking you were in the wrong spot – until other diners gather on the sidewalk alongside you. The unprepossessing exterior in the still rough-round-the-edges NoMad district of Manhattan belies a beautiful, if minimal, restaurant within. The ground floor houses a bar serving exceptional cocktails, with the main 14-seat U-shaped counter in the basement. On the menu: Diners can expect a well-paced 12-course tasting menu of Korean-based plates, featuring world-class flavour and texture combinations. Each dish is served in beautiful bespoke ceramics accompanied by an explanatory card providing accessible information on the ingredients, origin and inspiration. Dishes range from lamb with deodeok [a Korean root vegetable] to cherry blossom trout with Korean mustard and rhubarb; sea cucumber might be served with shrimp and egg over rice, while just-grilled wagyu is contrasted with cold noodles.",4
13,Potong,Bangkok,https://www.theworlds50best.com/the-list/potong.html,https://www.restaurantpotong.com/,"What’s the hype? Winning a constant stream of awards since opening in 2021, Potong is the fine-dining restaurant in a narrow multi-floor building from chef Pichaya ‘Pam’ Soontornyanakij, which offers a tasting menu of innovative Thai-Chinese cuisine in the heart of Bangkok’s Chinatown. And 2025 sees another award: Potong is the winner of the Highest New Entry Award 2025, making its impressive debut at No.13. On the menu: The food at Potong focuses on five elements: salt, acid, spice, texture and Maillard reaction (the chemical process of reducing sugars that brings distinctive flavour). The degustation starts with house-made charcuterie and collaboration wine, before moving through courses including Historical Stories – crab roe, blue crab and brioche; Bold – 14-day aged duck; and Heritage – pandan, a peanut bon bon and tamarind. The tasting takes diners through Chef Pam’s culinary memories and emotions. An historic setting: Potong is located in a generations-old five-storey building that housed the family’s Chinese herbal medicine business from 1910. Restored over two and a half years in a major architectural project, the site now houses late-night cocktail haven Opium Bar on its fourth and fifth floors, the main dining room on the second floor, and on the third, an original room filled with hand-painted tiger drawings. Soon, the former first-floor apothecary will be home to Sino House: a ‘funky Thai-Chinese’ restaurant with live music.",4
14,Plénitude,Paris,https://www.theworlds50best.com/the-list/plenitude.html,https://www.chevalblanc.com/fr/maison/paris/restaurants-et-bars/plenitude/,"Setting the scene: Plénitude is on the first floor of the LVMH-owned luxury boutique hotel, Cheval Blanc Paris, which inhabits the historic La Samaritaine building overlooking the famed Pont Neuf in Paris. The split-level dining room affords dreamy views of the River Seine and various notable Parisian landmarks from every table. On the plate: Chef Arnaud Donckele is one of France’s most accomplished cooks, with a laser focus on sauces as the centre point of each dish. The seven-course tasting menu might include sardine served with a piquant green Eden sauce, while plump langoustine comes with an airy sabayon, but it’s the vegetable, seafood or meat accompanying the sauce more than vice-versa. Donckele’s exquisite bouillons, consommés, sabayons and vinaigrettes – and their ingredients – are detailed in written form for guests to take home with them. Delivery service: The choreography of the meal, orchestrated by restaurant director Alexandre Larvoir and his young team, is dynamic: guests visit the cellar on arrival; one course is taken in the kitchen; at another point diners are invited into a ‘secret’ cheese cave adjacent to the dining room to select vintage plateware and their chosen fromages. Precise service is combined with relaxed engagement, with team members encouraged to bring their personalities to the table. This results in an exceptional – and sometimes emotional – dining experience.",4
15,Ikoyi,London,https://www.theworlds50best.com/the-list/ikoyi.html,https://ikoyilondon.com/,"Take it all in: Ikoyi burst onto the global gastronomic scene when it won the One To Watch Award at The World’s 50 Best Restaurants 2021. Since then, it has moved from its original, somewhat cramped location to a larger space on London’s The Strand, with exquisite interiors designed by David Thulstrup. The walls are clad in copper, the ceiling features a curved metal weave, furniture is made from oak and the floor from limestone – elements inspired by chef Jeremy Chan’s dual focus on spices and British produce.Free spirits: Friends Jeremy Chan and Iré Hassan-Odukale launched Ikoyi in 2017 with little formal training between them. They remain largely unconfined by restaurant conventions, with the gifted Chan creating a culinary style that defies categorisation; he gleans herbs and spices from across Africa and Asia, borrows techniques from around the globe, while sourcing proteins and fresh produce from the UK and its waters. The result is a singular dining experience which the Canadian-Chinese-British chef terms “a journey through bold heat”.On the plate: Ikoyi’s signature remains its smoked jollof rice, which has been a mainstay on the menu in myriad forms that vary depending on the time of year. It arrives late in the tasting menu and is preceded by the likes of drunken squid and fermented rice; turbot, crab salad and tonnato; and sweetbread and white flint grits. Desserts even include elements such as Scotch bonnet, reinforcing the unusual (and spicy) narrative. It’s definitely working, as Ikoyi is the winner of the Highest Climber Award 2025, sponsored by Lee Kum Kee.Subtle service: Led by Hassan-Odukale, Ikoyi’s service style is deliberately unobtrusive. The theory behind creating an arms-length approach is to allow the food to speak for itself, like a piece of art in a gallery. Then, if the guest wants to know more detail about any element on the plate, the team are perfectly well-versed to explain. 180 The Strand, London, Greater London, WC2R 1EA, UK",4
16,Lido 84,Gardone Riviera,https://www.theworlds50best.com/the-list/lido-84.html,https://www.ristorantelido84.com/,"What makes it special? Lido 84 serves quintessentially Italian food – just not as you know it. Years of research into local ingredients, old recipe books and international cooking techniques, combined with a penchant for art in all its forms and a deep-held belief in putting the customer first, have turned Riccardo and Giancarlo Camanini’s restaurant into a masterpiece. A view to remember: The restaurant is perched over Lake Garda in a charming old building that was once a lido – in Italy, a beach club for vacationing families. The Camaninis bought the building in 2013 and transformed it into a restaurant, with the dining room now dotted with eclectic pieces of art. When the weather is good, tables are set up on the terrace outside, directly overlooking the lake’s tranquil waters, with Giancarlo as the warm host ensuring each client feels looked after. The signature dish? Riccardo, the chef half of the duo, is known for constantly adding new dishes to the tasting and a la carte menus based on his latest findings. However, a few recipes have gained semi-permanent status, the most famous of which is the Rigatoni Cacio e Pepe en Vessie. An almost poetic ode to craftmanship and the highest-quality products, it sees the pasta cooked in a pig’s bladder in a process that must be assessed blindly, touching the bladder to judge whether it may be ready. The bladders’ juices, gently shaken by specialist cooks, form an emulsion with the cheese, lending perfect creaminess to the final dish.",4
17,Sorn,Bangkok,https://www.theworlds50best.com/the-list/sorn.html,,"A potted history: Supaksorn 'Ice' Jongsiri, Sorn's chef-patron, grew up in close contact with his grandmother’s southern cooking. Together with his own personal vision, Chef Ice transforms the flavours and memories of his encounters with diverse southern Thai cultures into a one-of-a-kind innovative cuisine. His thought process is mind-bending and his flavouring explosive, with no compromise on chilli heat and spice. What should I expect? Sorn is allegedly the most difficult restaurant to book in Thailand and one of the reasons it’s so sought after is its impeccable service. The front-of-house team is trained specifically to communicate the stories and memories that the chef puts into every dish. With each bite, you will be inspired by Ice’s love and passion for the south. Don’t wait to tuck in: Every dish served at Sorn is highly temperature sensitive. It’s something the chef pays special attention to and his kitchen brigade delivers every dish at an incredible tempo – so, don’t take too long photographing them. By controlling the temperature of the dishes, Sorn delivers a sensory-driven sequence that adds a new dimension to Thai cuisine.",4
18,Reale,Castel di Sangro,https://www.theworlds50best.com/the-list/reale.html,http://www.nikoromito.com/,"Modern Italian minimalism: Reale places huge emphasis on the world of plants, with a cuisine style that looks to leave guests in awe – succeeding with nearly every mouthful. The food is the result of profound technical research: for each ingredient, all possible nuances are dissected to find the optimum potential for its combination. The minimalism on the plate belies the complexity of flavour at play. With dishes like ‘Swiss Chard’, ‘Courgette’, and ‘Cauliflower’ (depending on the time of year), there is much more beyond their modest names.] Don’t skip the bread: The same attention is devoted to bread. At Reale, it’s not just as an accompaniment, but an individual course in its own right. Over the years, chef Niko Romito has carried out lengthy studies on fermentation, flours – ancient Saragolla wheat is the secret here – and dough’s molecular composition. The result is a bread that has become the benchmark for its category. Standout dishes: Courses, such as the lamb with sheep milk and cinnamon sauce, are designed to challenge the palate and senses. Its course of a singular broccoli leaf, served simply with an anise sauce, demonstrates the power and scope of Romito’s minimalist vision and scientific precision.",4
19,The Chairman,Hong Kong,https://www.theworlds50best.com/the-list/the-chairman.html,http://thechairmangroup.com/,"A singular restaurant: The Chairman is a phenomenon precisely because it doesn’t seek to be: no theatrics, no PR tactics, no Instagram-focused plating – this is a restaurant where the food comes first. Its quietly innovative rewriting of classic Cantonese cooking comes in the form of entirely new recipes that are built on the bedrock of China’s culinary history. As a result, it has built a fiercely loyal local clientele, which now combines with international visitors aplenty. Don’t be fooled by the smartly suited waiters, this is one of the most welcoming spots in Hong Kong. Settled in a new home: After building its unmatched reputation in a relatively non-descript location in Central, owner Danny Yip relocated the restaurant post-pandemic to a larger, smarter but still relaxed space in The Wellington nearby. Here, Yip’s cerebral taste for art and literature is more evident in the interior design, which also features leafy plants, an eclectic array of art pieces and low-lit lamps. The duo behind it: The Chairman is the creation of Yip, a chef turned successful tech entrepreneur turned restaurateur, who learned his trade in Australia. He is now a revered figure back home in HK and beyond. However, the role of long-time head chef Kwok Keung Tung should not be underestimated. The duo has formed a unique partnership which sees them deep-dive into ingredient research and experiment with new recipes and cooking methods for months at a time, with duly memorable results.",4
20,Atelier Moessmer Norbert Niederkofler,Brunico,https://www.theworlds50best.com/the-list/atelier-moessmer-norbert-niederkofler.html,https://ateliernorbertniederkofler.com/en/,"Scene setting: The small town of Brunico sits in a lush valley beneath the meeting point of the Alps and the Dolomites. In 2023, local chef Norbert Niederkofler relocated from his previous St Hubertus hotel-restaurant in a neighbouring valley to new premises in a 19th century villa, formerly part of the Moessmer textile production complex. The space has been redesigned with an emphasis on discreet luxury, including the addition of a modernist glass-walled extension housing the open kitchen and counter seating area. Chef as nurturer: Niederkofler has forged an enviable reputation over many decades, both within and beyond the kitchen. While his benign presence permeates Atelier Moessmer, executive chef Mauro Siega and sommelier-manager Lukas Gerges lead a talented and youthful team in daily operations. At the same time, Niederkofler’s established ‘cook the mountain’ philosophy – which permits only the use of hyper-local Tyrolean terroir ingredients – drives every aspect of the restaurant’s sustainability-forward culinary narrative. The dining experience: Guests first ring a doorbell before being invited into the villa, emphasising the private family feel. Snacks are served in the bar-lounge area, before different courses are presented in a variety of rooms, on the garden terrace and at the kitchen counter. The charming team judge how much detail to deliver on the dishes and wines. The simply named dishes – Spring Salad, Tyrolean Beef, Mountain Cheesecake – belie serious complexity, cutting-edge techniques and, most importantly, fascinating flavour combinations. Long-time signatures include singular versions of beetroot gnocchi and tarte tatin that can be added to the super-seasonal 12-course tasting menu.",4
21,Narisawa,Tokyo,https://www.theworlds50best.com/the-list/narisawa.html,https://www.narisawa-yoshihiro-en.com/,"Local legend: Born into a family of confectioners, Yoshihiro Narisawa left home at 19 and spent eight years training in some of Europe’s most venerated kitchens, including those of the late Paul Bocuse and Joël Robuchon. In 1996, he returned home to Japan and opened La Napoule in Kanagawa Prefecture. Seven years later, he moved to a space in Tokyo’s non-touristy district of Minami Aoyama and formed Les Créations de Narisawa. After eight years of service, he renamed the restaurant simply Narisawa. Enduring quality: Now, after two decades as one of Tokyo’s finest dining destinations, chef Yoshihiro Narisawa’s eponymous restaurant in Tokyo’s upmarket Aoyama district needs little introduction. After topping the inaugural Asia’s 50 Best Restaurants list in 2013, Narisawa has been a stalwart of the Asia’s 50 Best Restaurants ranking ever since and in 2025, is making a re-entry to The World’s 50 Best Restaurants list. Satoyama cuisine: Chef Narisawa channels the traditional satoyama farming system of premodern Japan – flatland cultivation, husbandry of the nearby forests and hunting-foraging in the mountains. The stunning Temari dish is a recreation of a traditional toy, here made with root vegetable strips wrapped around a crab and scallop dumpling. In true omakase style, the full menu will pivot every day depending on availability of ingredients, but draws inspiration from Japanese, Chinese and French cuisines. There are vegetarian and vegan menus available on request too.",4
22,Sühring,Bangkok,https://www.theworlds50best.com/the-list/suhring.html,https://restaurantsuhring.com/,"What's it all about? Twin brothers Mathias and Thomas Sühring meld flavours, techniques and experiences accumulated in their native Germany, as well as the Netherlands, Italy and Thailand, under one modish roof. The result is a sophisticated – and at times playful – seasonal haute cuisine menu with strong German identity. What’s the vibe? Step through the luscious front garden to a 1970s villa renovated by the twins. It’s a blissful and calming breath of fresh air in Thailand’s energetic capital. Some tables overlook the open kitchen while others enjoy the tropical landscape courtesy of the glass-ceilinged atrium. Typical dishes: European influence is welcomed in a city known for racy spices, and strong plates on the menu include scallop with pumpkin and kelp; lobster with vanilla, persimmon and hazelnut; Kagoshima A5 wagyu with kintoki carrot and oxtail; and spaetzle egg noodles topped with Périgord truffle, inciting plenty of German culinary nostalgia (although the truffle is somewhat of an indulgent touch).",4
23,Boragó,Santiago,https://www.theworlds50best.com/the-list/borago.html,https://borago.cl/en/welcome/,"Who’s the chef? Rodolfo Guzmán toured restaurants across Europe and Chile, learning new techniques and experimenting with flavours, before resettling in Santiago to open Boragó in 2006. Since then, the restaurant has become a haven for Guzmán’s discovery of, and research into, native Chilean produce. What to expect: The menu, named Endémica, showcases the bounty Chile has to offer. Guzmán takes diners through the country’s regions with creatively executed dishes such as mussels, fava beans and unripe peaches, onion and pink tomato tarte tatin and Patagonian lamb with fig leaf and Maule pink tomato. What’s the inspiration? Boragó is deeply rooted in Mapuche culture. Inspired by the Indigenous hunter-gatherers of Southern Chile and Argentina, Guzmán strives to incorporate the autochthonous plants of the nation into the restaurant’s vast pantry. He works with more than 200 people, including foraging communities and small producers all over the country, to bring seasonal and fresh goods to the plate. The ingredients come from coastlines, mountain tops or even the restaurant’s nearby orchard.",4
24,Elkano,Getaria,https://www.theworlds50best.com/the-list/elkano.html,https://www.restauranteelkano.com/,"The concept: Aitor Arregui’s father, Pedro, used to say that to buy the best fish, you have to look the animal in the eyes to see that they still retain their brightness – that means the fish is truly fresh. Today, his son and family run one of the most prestigious seafood grills in the Basque Country. The backstory: Pedro Arregui transformed his mother's grocery store into a bar. Next to it, he installed a small street-side grill. One day, a fisherman brought him a huge turbot, which he placed on two grills because it did not fit on one and roasted it whole, without removing the skin. That innovation, like roasting the whole head of a hake – previously used only to make soup – turned Elkano into an establishment that would set new standards of grilling. Lasting legacy: Arregui’s innovations in the art of grilling triumphed and the house was filled every day. Elkano, which would receive its first Michelin star after Pedro Arregui’s death, is one of the cathedrals to which many of the best chefs on the planet make a pilgrimage.",4
25,Odette,Singapore,https://www.theworlds50best.com/the-list/odette.html,https://www.odetterestaurant.com/,"Humble beginnings: Odette is a modern French restaurant founded by chef Julien Royer in 2015. Coming from a family of farmers, Royer cares deeply about produce, sourcing ingredients from artisanal producers in Asia and Europe and treating them carefully to highlight their purest flavour. What’s the inspiration? Odette is Royer’s gastronomic love letter to his grandmother of the same name. She taught him to highlight ingredients and add that je ne sais quoi to his dishes that blows diners’ minds and brings happiness to their hearts. Demonstrating love through food and devotion to people are the cornerstones of the Odette experience. French DNA with Asian influence: The menu at Odette is based on French cuisine, but the Asian influence is also evident in many of the dishes. The seven-course tasting menu is created based on the best seasonal produce.",4
26,Mérito,Lima,https://www.theworlds50best.com/the-list/merito.html,https://www.meritorestaurante.com/,"Tell me all about it: Combining produce from the surrounding area with flashes and memories of his country of origin, chef Juan Luis Martínez unites the cuisines of Peru and his native Venezuela at Mérito. What to order: Try the scallops, sanky (similar to a prickly pear) and jalapeño; fish tartare with green tomato, huacatay (black mint) and matured cheese; or white fish and cocona citrus fruit. For the perfect ending to your meal, opt for the Peruvian chocolate rock, Mérito’s signature dessert. Or if it's the right time of year, make sure to order the grilled custard apple. A note on the chef: Martínez, who hails from Caracas and studied at La Casserole du Chef, opened Mérito in 2018. The two-floor restaurant is set in the heart of the fashionable Barranco neighbourhood and is a favourite with locals. If you can, make sure to book a space at the chef’s counter.",4
27,Trèsind Studio,Dubai,https://www.theworlds50best.com/the-list/tresind-studio.html,https://tresindstudio.com/,"The mastermind: Learning his trade at lauded New Delhi dining institution Indian Accent before moving to Dubai, chef Himanshu Saini has become the standard-bearer of modern Indian gastronomy in the UAE. After opening Trèsind in 2014 and the fantastically experimental and immersive Trèsind Studio in 2018, both to critical acclaim, he has quickly gained a reputation as one of India’s hottest culinary exports. What’s the food like? Titled ‘Rising India’, its latest tasting menu pays homage to the nation's 5,000-year history and the plurality of produce that has long stocked its larder. Dishes on the menu are grouped into areas of the subcontinent: stop at the Deccan Plateau for some tender coconut kushiyaki with hearts of palm and yuzu rasam, before later swinging by the Northern Plains and Himalayan Mountains for a course of king oyster noodles with black fungus XO sauce and shoyu of morel mushrooms. A touch of theatre: Dining at Trèsind Studio, now located on The Palm Jumeirah, can be a dramatic experience. As you progress through the tasting menu, expect to be relocated to different areas of the restaurant, each carefully curated to match the plates in front of you. With just 20 seats available, its already intimate experience may be rapidly dialled up as the dining room plunges into darkness for a course or two.",4
