Name,Address,City,Tier,Price_EUR,Price_Basis,Cuisine,Michelin,Details
Cozinha da Terra,"Largo da Herdade 8, Louredo, Paredes, Portugal",Paredes,Garfo de Prata,32,à la carte avg,—,not in Michelin scrape,avg €30; ~€37.50 pp a meal; dinner €20-25
Cozinha das Flores,"Largo São Domingos 62, Porto, 4050-545, Portugal",Porto,Garfo de Prata,45,à la carte avg,Modern Cuisine,Selected,avg €41; 3-course lunch €35
Desarma,"Rua das Maravilhas 74, Funchal, 9000-177, Portugal",Funchal,Garfo de Prata,185,tasting menu,Contemporary,1 Star,€155 (6) / €185 (9) / €275 (12); Chef's Table €350
Garagem 33,"Rua do Moinho 17, Soutelo, Vila Verde, 4730-577, Portugal",Vila Verde,Garfo de Prata,32,à la carte avg,—,not in Michelin scrape,~€32 pp depending on drinks; wood-fired Minho cooking
Loco,"Rua dos Navegantes 53 B, Lisbon, 1200-731, Portugal",Lisboa,Garfo de Prata,160,tasting menu,Modern Cuisine,1 Star,avg €160; 16-moment surprise menu; +0% pairing €220
Maré – José Avillez,"Av. Nossa Senhora do Cabo, 9000, Cascais, 2750-374, Portugal",Cascais,Garfo de Prata,60,à la carte avg,Seafood,Selected,avg €60 excl. drinks
Marlene,"Avenida Infante D. Henrique. Doca do Jardim do Tabaco, Lisbon, 1100-651, Portugal",Lisboa,Garfo de Prata,130,tasting menu,Modern Cuisine,1 Star,Menu 9 Momentos €130; 12 Momentos €170
Nunes Real Marisqueira,"Rua Bartolomeu Dias 172, Belém, Lisboa, Portugal",Lisboa,Garfo de Prata,55,à la carte avg,—,not in Michelin scrape,avg €35 listed; reports €60-90 pp; shellfish by weight
O Forno de Jales,"Rua do Brasil 5, Vreia de Jales, Vila Pouca de Aguiar, 5450-345, Portugal",Vila Real,Garfo de Prata,46,à la carte avg,—,not in Michelin scrape,"avg €46; lunch €35-40, dinner €50+ · NOTE: Vila Pouca de Aguiar (guide lists Vila Real)"
O Gaveto,"Rua Roberto Ivens 826, Matosinhos, 4450-279, Portugal",Matosinhos,Garfo de Prata,32,à la carte avg,—,not in Michelin scrape,avg €30-35 pp; shellfish by weight pushes higher
Rei dos Leitões,"Avenida da Restauração 17, Mealhada, 3050 -382, Portugal",Mealhada,Garfo de Prata,40,à la carte avg,Traditional Cuisine,Selected Restaurants,"avg €30-50 pp; Bairrada suckling pig, open since 1947"
Restaurante Noélia,"Avenida Ria Formosa 2, Cabanas de Tavira, 8800-591, Portugal",Tavira,Garfo de Prata,40,à la carte avg,—,not in Michelin scrape,avg €35-45 pp (~€40 with wine) · NOTE: Cabanas de Tavira (guide lists Tavira)
S. Gião,"Rua Comendador Joaquim Almeida Freitas 56, Moreira de Cónegos, 4815-270, Portugal",Guimarães,Garfo de Prata,45,à la carte avg,Traditional Cuisine,Selected,Repsol avg €50; other sources €40-45 pp · NOTE: Moreira de Cónegos (guide lists Guimarães)
