City,Name,Michelin_Award,Green_Star,Repsol_Award,Worlds_50_Best_Rank,Steak_101_Rank,Notable_Wine_List,Cuisine,Price,Price_Tier,Address,Phone,Latitude,Longitude,Sources,Description,Avg_Price_EUR,Price_Detail,Price_Source,Maps_Url
Lisbon,CURA,1 Star,,,,,yes,Modern Cuisine,Spare no expense,4,"Rua Rodrigo da Fonseca 88, Lisbon, 1099-039, Portugal",+351 21 381 1401,38.7257479,-9.155379,Michelin; Michelin wine list,"We find ourselves in the gourmet space of the Four Seasons Hotel Ritz Lisbon, a luxurious and emblematic hotel that nevertheless allows the restaurant to assert its own identity, with a separate entrance. The establishment, which adopts the word “curadoria” (“curators who care for art”) as its name, has Chef Rodolfo Lavrador at the stoves and boasts an open kitchen where a modern, audacious and balanced cuisine is championed—considered creations with surprising technical command. The offering conveys Chef Rodolfo’s view of his culinary path between past and present, so two tasting menus are presented: the first, named Percurso (“Path”), pays homage to Portuguese recipes reinterpreted with contemporary techniques; the second, entitled Passo (“Step”), is an experience that underscores the evolution and the steps the chef has taken throughout his career. Both versions can be vegetarian!",120,Meia Cura 8-course €95; vegetarian €85; Origens 13-course higher,fourseasons.com / michelin,https://www.google.com/maps/search/?api=1&query=CURA%2C%20Rua%20Rodrigo%20da%20Fonseca%2088%2C%20Lisbon%2C%201099-039%2C%20Portugal
Lisbon,Encanto,1 Star,,,,,,Vegetarian,Special occasion,3,"Largo De São Carlos 10, Lisbon, 1200 410, Portugal",+351 21 162 6310,,,Michelin,"Chef José Avillez is one of the leading figures on the Portuguese gastronomic scene, who continues to enhance his legend through hard work and diversification across his restaurants. This small but welcoming venue, next door to his award-winning Belcanto, surprises both for its contemporary aesthetic (with an original library adorning both walls and joining at the ceiling) and for its culinary approach, creatively focused entirely on working with seasonal, organic, locally sourced vegetables — though that by no means prevents the dishes from being technical, tasty, and texturally spot-on. After ringing the bell at the entrance, you are shown to your table and presented with a unique, 100% vegetarian tasting menu exploring concepts such as zero waste, always well matched by a list of biodynamic wines, craft beers, and in-house kombuchas... One of the dishes we liked most was the autumn vegetable stew / fig leaf!",125,tasting €95-155; wine pairing from €95; non-alc from €90,encantojoseavillez.pt / thefork,https://www.google.com/maps/search/?api=1&query=Encanto%2C%20Largo%20De%20S%C3%A3o%20Carlos%2010%2C%20Lisbon%2C%201200%20410%2C%20Portugal
Lisbon,Feitoria,1 Star,,,,,yes,Modern Cuisine,Spare no expense,4,"Doca do Bom Sucesso, Lisbon, 1400-038, Portugal",+351 21 040 0208,38.6936647,-9.2129467,Michelin; Michelin wine list,"If you’re wandering around the city’s historic sights, such as the Monument to the Discoveries and the Belém Tower, make sure you also pay a visit to this charming restaurant. With a backdrop ambience that combines the classic and modern, this space exudes personality and elegance, as well as boasting an exquisite bar at the entrance with views of the Tagus. Taking a seat at one of its tables is an invitation to embark on a journey across the traditional flavours of Portugal through dishes that combine high-level technique and top-quality ingredients. Under the baton of chef André Cruz, the menu has been created with an emphasis on seasonal produce, most of which are from local suppliers, as is reflected on the Semente menu, which comes in four different versions: Leaf, Roots, and two vegetarian options. Classic Portuguese dishes have been enhanced with a touch of sophistication, such as the “Sea Stew” (Cozido do Mar), featuring fish, a selection of bivalves and local vegetables, or the typical convent-inspired Sericaia dessert from the Alentejo, made with eggs and served with honey and native herbs.",150,tasting €150-180; vegetarian 6-moment €115; pairing €80; avg €135,thefork / lisbonguide.org,https://www.google.com/maps/search/?api=1&query=Feitoria%2C%20Doca%20do%20Bom%20Sucesso%2C%20Lisbon%2C%201400-038%2C%20Portugal
Lisbon,Loco,1 Star,,,,,,Modern Cuisine,Spare no expense,4,"Rua dos Navegantes 53 B, Lisbon, 1200-731, Portugal",+351 21 395 1861,,,Michelin,"At this restaurant, just a stone’s throw from the 18th-century Baroque Basílica da Estrela, they say they work with micro-seasons to maximise flavour and fulfil their zero-waste policy. Loco brims with surprises from the moment you step through the door, starting with its eye-catching, fully open kitchen and amplified by extensive design details that reflect the house’s creativity and character. Chef Alexandre Silva concentrates his entire culinary philosophy into a single surprise tasting menu of 16 “moments” or steps, inspired by Portuguese tradition yet in constant evolution and viewed through a contemporary lens. A recommendation? Don’t miss the drinks list, which offers not only superb organic wines from small producers but also a variety of craft beers, herbal liqueurs and house-fermented natural juices, most of them made on site.",160,avg €160; 16-moment surprise menu; +0% pairing €220,thefork / michelin,https://www.google.com/maps/search/?api=1&query=Loco%2C%20Rua%20dos%20Navegantes%2053%20B%2C%20Lisbon%2C%201200-731%2C%20Portugal
Lisbon,"Marlene,",1 Star,,,,,,Modern Cuisine,Spare no expense,4,"Avenida Infante D. Henrique. Doca do Jardim do Tabaco, Lisbon, 1100-651, Portugal",+351 912 626 761,,,Michelin,"A haute cuisine-style restaurant adjacent to Zunzum Gastrobar, located in a glass-fronted building next to the Lisbon Cruise Terminal (a bonus for parking, with a huge public car park available). The restaurant, with a contemporary feel, surprises visitors with a large open central kitchen, surrounded by a counter that allows you to watch the chefs at work at all times. Chef Marlene Vieira, together with her team, presents a signature approach based on two tasting menus (9 or 12 courses) referencing both Portuguese tradition (we loved her refined blue lobster, green curry and seaweed) and flavours from other latitudes, always accompanying the dishes with cornbread following her grandmother’s old recipe. A curious detail? If you order a meat option, you are presented with a selection of handcrafted knives, with different handles and hand-sharpened blades, from which you can choose.",130,Menu 9 Momentos €130; Menu 12 Momentos €170,thefork / michelin,https://www.google.com/maps/search/?api=1&query=Marlene%2C%2C%20Avenida%20Infante%20D.%20Henrique.%20Doca%20do%20Jardim%20do%20Tabaco%2C%20Lisbon%2C%201100-651%2C%20Portugal
Lisbon,SÁLA de João Sá,1 Star,,,,,,Modern Cuisine,Special occasion,3,"Rua dos Bacalhoeiros 103, Lisbon, 1100-068, Portugal",+351 21 887 3045,,,Michelin,"A good culinary option in the Baixa area? On one of its bustling streets you’ll find SÁLA by João Sá, an exceptionally welcoming restaurant with the kitchen in view from the entrance and, above all, a place that has come into its own. Chef João Sá, who often comes to the tables to serve a dish and explain it in detail, proposes a travelling cuisine full of personality, combining tradition and the finest Portuguese ingredients with a palette of globally influenced flavours, sometimes in a measured register, sometimes with more intense touches from the Asian world. On its tasting menus, Horizonte à Vista and À procura de novas Texturas, you’ll find delicious creations and a dessert that caught our eye: Ramen conventual, made with a “false spaghetti” of egg yolk and sugar, a fresh, well-balanced coriander sorbet, slices of preserved peach and, to finish, a miso-and-vanilla syrup. Curious details? The restaurant often collaborates with the NGO Oceans Alive.",155,tasting menus €155 and €185,michelin / facefoodmag,https://www.google.com/maps/search/?api=1&query=S%C3%81LA%20de%20Jo%C3%A3o%20S%C3%A1%2C%20Rua%20dos%20Bacalhoeiros%20103%2C%20Lisbon%2C%201100-068%2C%20Portugal
Porto,Blind,1 Star,,,,,,Creative,Spare no expense,4,"Rua de Entreparedes 40, Porto, 4000-197, Portugal",+351 22 600 1580,,,Michelin,"This is one of those places where you seek more than just a meal — you seek produce, flavour, technique... and a culinary experience that moves you; not surprisingly, they wanted to pay tribute to José Saramago’s famous work “Blindness” and build their ethos around three concepts that play with the senses: Feel, Touch and Provoke. This restaurant, inside the Torel Palace hotel, is overseen by Chef Vítor Matos and champion a cuisine guided by common sense, serious in presentation yet playful (some blind tastings are offered), with plating not devoid of a theatrical touch. The concept involves a single surprise tasting menu, called Blind Emotions, with two variations: one featuring 10 courses and another with 12. They may surprise you with lit butter candles, the tinkling of a Swiss cowbell, or a Polaroid photo while you’re blindfolded... Do you accept the challenge?",155,Blind Emotions 10 or 12 moments €155; TheFork avg €200,blind.pt / thefork,https://www.google.com/maps/search/?api=1&query=Blind%2C%20Rua%20de%20Entreparedes%2040%2C%20Porto%2C%204000-197%2C%20Portugal
Porto,dop,1 Star,,,,,,Contemporary,Spare no expense,4,"Largo de São Domingos 16, Porto, 4050-545, Portugal",+351 910 014 041,,,Michelin,"Set in a historic building but featuring a renovated contemporary interior, this welcoming restaurant stands out as a splendid option for a meal in the city centre, being just a few metres from the 19th-century Mercado Ferreira Borges.Award-winning chef Rui Paula (Casa de Chá da Boa Nova, in nearby Leça da Palmeira) has revamped this establishment’s concept in a more gastronomic direction, focusing solely on a tasting menu called ""Não há futuro sem memória"" (There’s No Future Without Memory) (available in 6, 10 or 14 courses). The first starters can be served at the bar at the entrance, and subsequently, in the intimate dining room, you can savour contemporary dishes with traditional roots, not without a few Asian touches introduced by Sandro Teixeira, the resident chef. A standout dish? Without a doubt, the Squid / Carbonara, considered a house classic that reinterprets the delicious tagliatelle carbonara made exclusively with squid.",75,Douro 5-course €65; Sea 5-course €75; weekday executive lunch €20,thefork / localporto,https://www.google.com/maps/search/?api=1&query=dop%2C%20Largo%20de%20S%C3%A3o%20Domingos%2016%2C%20Porto%2C%204050-545%2C%20Portugal
Porto,Euskalduna Studio,1 Star,,,,,,Modern Cuisine,Spare no expense,4,"Rua Santo Ildefonso 404, Porto, 4000-466, Portugal",+351 935 335 301,,,Michelin,"On a narrow street in downtown Porto, you’ll find one of those restaurants that captivates true food lovers; unsurprisingly… it can be hard to get a table! When you ring the bell, the doors open onto an intimate space brimming with personality, reminiscent of Japanese izakayas, featuring a counter opposite the kitchen where all dishes are prepared. What’s their proposition? A tasting menu that will leave no one unmoved, highlighting Chef Vasco Coelho Santos’s passion for a wide array of world cuisines. With coherence as a foundation, he pushes flavour to its limit, enabling him to work with charcoal, introduce smoky notes, use aged fish from his own fishmongers (many sourced from Azorean waters)... and pair the main ingredients with intriguing condiments, from spices to spicy herbs. The chefs, who interact a great deal with customers, always add a surprise dish not shown on the menu!",160,tasting €160 (10 moments); pairings €65 (non-alc) to €250,euskaldunastudio.pt,https://www.google.com/maps/search/?api=1&query=Euskalduna%20Studio%2C%20Rua%20Santo%20Ildefonso%20404%2C%20Porto%2C%204000-466%2C%20Portugal
Porto,Gastro by Elemento,1 Star,,,,,,Contemporary,Special occasion,3,"Rua Maria Adelaide Freitas Gonçalves 13, Porto, 4350-109, Portugal",+351 22 549 2399,,,Michelin,"Just a few metres from Estádio do Dragão, chef Ricardo Dias Ferreira leans into ancestral cooking where... fire is the star of the show! Here, almost everything is prepared over fire and in the wood-fired oven (embers and low-temperature cooking also play an important role), giving the dishes a very distinctive flavour. With a minimalist feel and a U-shaped table-counter that houses the kitchen within it, the restaurant breathes an industrial air while also incorporating an elegantly decorated dining room. We recommend taking a seat at the counter to watch the entire preparation process and breathe in the aromas rising from the stoves. The offering, built around the Organic Tasting Menu by Gastro and its 15 moments, evolves with the products available each season, with a special focus on the marine world (carabineiro prawns, scallop, black hake, red mullet...). The sommelier can lift the experience even further if you fancy exploring the wine list, including options served by the glass!",145,"organic 15-course €115, rising to €145 from 1 Apr 2026",gastroelemento.com / thefork,https://www.google.com/maps/search/?api=1&query=Gastro%20by%20Elemento%2C%20Rua%20Maria%20Adelaide%20Freitas%20Gon%C3%A7alves%2013%2C%20Porto%2C%204350-109%2C%20Portugal
Porto,In Diferente,1 Star,,,,,,Contemporary,Special occasion,3,"Rua do Doutor Sousa Rosa 23, Porto, 4150-719, Portugal",+351 911 033 315,,,Michelin,"This welcoming restaurant isn’t in the city centre or on the usual tourist routes, yet... it’s truly worth the visit! Angélica Salvador, the Brazilian-born chef at the helm, offers her take on traditional Portuguese and international cooking through a small menu and two contemporary-leaning tasting menus, Homenagem and In Diferente (7 and 9 moments, respectively), both with their own pairing option and the possibility of changing a dish if the diner wishes. Her concept is different and personalised, with signature details, making the most of both the wonderful fish from the Matosinhos or Aveiro fish markets and the fantastic local meats. Standout dishes? We especially enjoyed her Pescada Selvagem, wild hake, and the dessert called Maracujá, passion fruit, made with yuzu, carrot, ginger and coconut milk. The team are extremely attentive and professional!",110,"Homenagem 8 moments €90; ""In Diferente"" 10 moments €110",thefork / michelin,https://www.google.com/maps/search/?api=1&query=In%20Diferente%2C%20Rua%20do%20Doutor%20Sousa%20Rosa%2023%2C%20Porto%2C%204150-719%2C%20Portugal
Porto,Pedro Lemos,1 Star,,,,,yes,Contemporary,Spare no expense,4,"Rua do Ouro 258, Porto, 4150-554, Portugal",+351 22 011 5986,41.1480595,-8.6501319,Michelin; Michelin wine list,"Eating at this restaurant, facing the mouth of the Douro, is always a gratifying experience; not for nothing does it occupy a warehouse linked to the city’s naval history, and chef-owner Pedro Lemos introduces himself by saying: “If I feel I don’t fit into this world, it’s because I was born to create my own.” In this space, striking for both its minimalist atmosphere and the presence of large curtains that organise the interior (there’s a bar area where the first aperitifs are served and a beautiful main dining room), the chef champions a contemporary cuisine with strong classical roots, always elegant, using high-quality regional produce (eel, bivalves, red mullet...). Care to take a recommendation? It’s well worth visiting the wine cellar (you can choose wines that aren’t on the list) and hopping on the charming line 1 tram, which will take you along the riverbanks on a lovely route.",110,TheFork avg €110; Michelin €€€€; 3/5/7-course seasonal menus,thefork / theworlds50best,https://www.google.com/maps/search/?api=1&query=Pedro%20Lemos%2C%20Rua%20do%20Ouro%20258%2C%20Porto%2C%204150-554%2C%20Portugal
Porto,Vila Foz,1 Star,,,,,,Contemporary,Spare no expense,4,"Avenida De Montevideu 236, Porto, 4150-516, Portugal",+351 22 244 9700,,,Michelin,"It will surprise you, as it occupies what was once the luxurious events room of the Vila Foz H. & SPA, an evocative 19th-century mansion located opposite Praia do Homem do Leme. Here, surrounded by elegant frames, period goldwork, original lamps and mirrors inspired by grand palatial residences, discover the gourmet cuisine of Chef Arnaldo Azevedo, who through his menus Novo Mundo (entirely vegetarian) and Maresia (more focused on Atlantic products, playing with the tides’ rhythm) champions a contemporary style of cooking that highlights the flavours of Portugal’s fantastic fish and seafood. Curious facts? In what used to be the bar, there is a counter in front of the stoves, where they also offer a far more personal, intimate, and intense option called the “Kitchen Seat” reserved exclusively for just two diners and where… the experience is enhanced by constant interaction with the chef!",190,"tasting €190 pp (Tue-Sat, €50 pp prepayment); ""Novo Mundo"" veg + ""Maresia""",vilafozhotel.pt,https://www.google.com/maps/search/?api=1&query=Vila%20Foz%2C%20Avenida%20De%20Montevideu%20236%2C%20Porto%2C%204150-516%2C%20Portugal
Porto,Éon,1 Star,,,,,,Modern Cuisine,Spare no expense,4,"Rua Ricardo Severo 21, Porto, 4050-515, Portugal",+351 22 967 7008,,,Michelin,"At Palacete Severo, a luxurious boutique hotel surrounded by gardens and reminiscent of an art gallery (its French owners are art dealers), the renowned chef Tiago Bonito undertakes his most personal project. The space includes a bar area where aperitifs are served before moving to the table, an elegant dining room adorned with fine contemporary works beneath a stunning coffered ceiling, and an additional room used for private dining. The proposal, distinctly gastronomic in nature, revolves around a tasting menu entitled Lés a Lés, from which guests may choose 9 or 14 moments from a list of dishes. Overall, the chef champions author-driven cuisine that brings his memories to light (as in the dessert Memórias de infância - Childhood Memories) and invites us on a journey through Portugal’s traditional flavours (Pão e brioche com fermento natural (sourdough bread and brioche), Pescada de anzol (line-caught hake), Novilho nacional (Portuguese beef)…), always viewed through a contemporary lens, with refined textures and excellent broths.",140,Lés a Lés 9 moments €100 / 14 moments €150-165; avg €140,palacetesevero.com / thefork,https://www.google.com/maps/search/?api=1&query=%C3%89on%2C%20Rua%20Ricardo%20Severo%2021%2C%20Porto%2C%204050-515%2C%20Portugal
