Name,City,Editions,Years,Listing_Type,Price_EUR,Price_Basis,Price_Detail
Olivier Avenida,Lisboa,2,2017 2018,full guide listing,,,
Open Brasserie Mediterrânica,Lisboa,1,2016,full guide listing,,,
Os Tibetanos,Lisboa,2,2018 2019,full guide listing,,,
Pabe,Lisboa,2,2019 2020,award winner,,,
Panorama,Lisboa,2,2016 2017,full guide listing,,,
Pap'açorda,Lisboa,1,2017,full guide listing,,,
Paço da Rainha,Lisboa,1,2018,full guide listing,,,
Peixaria da Esquina,Lisboa,2,2016 2017,full guide listing,,,
Populi,Lisboa,1,2016,full guide listing,,,
Prado,Lisboa,6,2018 2019 2020 2021 2022 2023,award winner,32,à la carte avg,"avg €30-35 pp incl. wine, sharing plates"
Praia no Parque,Lisboa,1,2019,full guide listing,,,
Quanjude,Lisboa,1,2018,full guide listing,,,
RIB - Beef & Wine,Lisboa,2,2018 2019,full guide listing,,,
Rabo d'Pêxe,Lisboa,1,2017,full guide listing,,,
SEM,Lisboa,1,2024,award winner,,,
Sabores de Goa,Lisboa,1,2017,full guide listing,,,
Sala de Corte,Lisboa,2,2017 2019,full guide listing,,,
Salsa e Coentros,Lisboa,2,2016 2017,full guide listing,,,
Sea Me Peixaria Moderna,Lisboa,1,2016,full guide listing,,,
Seen Lisboa,Lisboa,1,2019,full guide listing,,,
Selllva,Lisboa,1,2020,award winner,,,
Sem Dúvida,Lisboa,1,2017,full guide listing,,,
Solar dos Nunes,Lisboa,3,2016 2017 2018,full guide listing,,,
Solar dos Presuntos,Lisboa,10,2014 2016 2017 2018 2019 2020 2022 2023 2024 2025,award winner,55,à la carte avg,"avg €38-70 pp; traditional Portuguese, open since 1974"
Sommelier Lisbon,Lisboa,1,2016,full guide listing,,,
Soão - Taberna Asiática,Lisboa,1,2019,full guide listing,,,
Suba,Lisboa,1,2018,full guide listing,95,à la carte avg,"4-course €80; 5-course and 8-course ""Full Experience"" higher"
Sála de João Sá,Lisboa,1,2019,full guide listing,155,à la carte avg,tasting menus €155 and €185
Taberna - Bairro do Avillez,Lisboa,3,2017 2018 2019,full guide listing,,,
Taberna Sal Grosso,Lisboa,2,2018 2019,full guide listing,,,
Taberna da Rua das Flores,Lisboa,2,2016 2019,full guide listing,,,
Taberna do Calhau,Lisboa,1,2020,award winner,,,
Tasca da Esquina,Lisboa,4,2016 2017 2018 2019,full guide listing,,,
Terraço BAHR,Lisboa,1,2020,award winner,,,
The Old House,Lisboa,2,2017 2019,full guide listing,,,
Tágide,Lisboa,2,2016 2017,full guide listing,,,
Valle Flôr,Lisboa,3,2016 2017 2018,full guide listing,,,
Varanda,Lisboa,4,2016 2017 2018 2019,full guide listing,,,
Via Graça,Lisboa,2,2018 2019,full guide listing,,,
Viva Lisboa,Lisboa,1,2016,full guide listing,,,
Volver de Carne y Alma,Lisboa,1,2019,full guide listing,,,
Yakuza by Olivier,Lisboa,1,2019,full guide listing,,,
Ânfora,Lisboa,2,2016 2017,full guide listing,,,
1858 BB Gourmet Criativo,Porto,1,2016,full guide listing,,,
A Cozinha do Manel,Porto,5,2016 2017 2018 2019 2020,award winner,28,à la carte avg,"avg €25; reports €20-40 pp; tripas + cabrito, Porto since 1989"
Adega de São Nicolau,Porto,2,2016 2017,full guide listing,,,
Almeja,Porto,1,2019,full guide listing,50,à la carte avg,10-course tasting ~€55; avg €45; weekday Bolhão/Trindade menus cheaper
Antiqvvm,Porto,10,2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,award winner,200,tasting menu,"""Ensaios Sensoriais"" €200 (8 courses); vegetarian ""Orgânico"" €145"
Antunes,Porto,1,2018,full guide listing,,,
Astória,Porto,4,2016 2017 2018 2019,full guide listing,,,
Atrevo,Porto,1,2020,award winner,55,à la carte avg,Menu Atrevido 6-course €65; à la carte avg €35
BH Foz,Porto,1,2016,full guide listing,,,
Belos Aires,Porto,3,2016 2017 2018,full guide listing,,,
Boa-Bao,Porto,1,2019,full guide listing,,,
Cafeína,Porto,4,2016 2017 2018 2019,full guide listing,,,
Cantina 32,Porto,4,2015 2016 2017 2018,award winner,,,
Cantinho do Avillez,Porto,5,2015 2016 2017 2018 2019,award winner,34,à la carte avg,avg €34 excl. drinks
Casa D'oro,Porto,4,2016 2017 2018 2019,full guide listing,,,
Casa Nanda,Porto,3,2017 2018 2019,full guide listing,,,
Casa de Pasto da Palmeira,Porto,2,2016 2017,full guide listing,,,
Casario,Porto,1,2019,full guide listing,,,
Cervejaria Brasão Aliados,Porto,4,2016 2017 2018 2019,full guide listing,,,
Cozinha das Flores,Porto,2,2024 2025,award winner,45,à la carte avg,avg €41; 3-course lunch €35
Cruel,Porto,4,2016 2017 2018 2019,full guide listing,,,
DOP,Porto,4,2016 2017 2018 2019,full guide listing,75,à la carte avg,Douro 5-course €65; Sea 5-course €75; weekday executive lunch €20
Digby,Porto,1,2018,full guide listing,,,
Elemento,Porto,1,2019,full guide listing,95,à la carte avg,8-moment wood-fire tasting €95
Euskalduna Studio,Porto,8,2018 2019 2020 2021 2022 2023 2024 2025,award winner,160,à la carte avg,tasting €160 (10 moments); pairings €65 (non-alc) to €250
Flor de Lis,Porto,1,2020,award winner,,,
Flow Restaurant & Bar,Porto,2,2016 2017,full guide listing,,,
Frida - Cocina Mestiza,Porto,3,2015 2017 2019,award winner,,,
Galeria do Largo,Porto,4,2016 2017 2018 2019,full guide listing,,,
Ichiban,Porto,2,2017 2019,full guide listing,,,
In Diferente,Porto,1,2019,full guide listing,110,à la carte avg,"Homenagem 8 moments €90; ""In Diferente"" 10 moments €110"
Le Monument,Porto,4,2019 2023 2024 2025,award winner,,,
MUU Steakhouse,Porto,2,2018 2019,full guide listing,,,
Mistu,Porto,2,2018 2019,full guide listing,,,
Mito,Porto,1,2019,full guide listing,,,
Mundo,Porto,2,2018 2019,full guide listing,,,
O Buraco,Porto,1,2019,full guide listing,,,
O Paparico,Porto,5,2016 2017 2018 2019 2020,award winner,100,tasting menu,tasting menus €90-120; avg €100 pp
O Rápido,Porto,2,2018 2019,full guide listing,,,
ODE Porto Wine House,Porto,3,2017 2018 2019,full guide listing,,,
Oficina,Porto,3,2017 2018 2019,full guide listing,,,
Pedro Lemos,Porto,11,2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,award winner,110,à la carte avg,TheFork avg €110; Michelin €€€€; 3/5/7-course seasonal menus
Pisca,Porto,1,2017,full guide listing,,,
Portarossa,Porto,4,2016 2017 2018 2019,full guide listing,,,
Porto Novo,Porto,4,2016 2017 2018 2019,full guide listing,,,
Portucale,Porto,1,2016,full guide listing,,,
Puro 4050,Porto,3,2017 2018 2019,full guide listing,,,
Páteo das Flores,Porto,3,2017 2018 2019,full guide listing,,,
Real Indiana,Porto,2,2018 2019,full guide listing,,,
Reitoria,Porto,5,2015 2016 2017 2018 2019,award winner,,,
Rib Beef & Wine Porto,Porto,4,2016 2017 2018 2019,full guide listing,,,
SHIKO - Tasca Japonesa,Porto,4,2016 2017 2018 2019,full guide listing,,,
Sagardi,Porto,1,2020,award winner,,,
Taberna dos Mercadores,Porto,1,2019,full guide listing,,,
Terra,Porto,2,2017 2019,full guide listing,,,
Tia Orlanda,Porto,2,2018 2019,full guide listing,,,
Torreão,Porto,1,2017,full guide listing,,,
Trattoria 179 - BH Concept,Porto,1,2020,award winner,,,
Traça,Porto,4,2016 2017 2018 2019,full guide listing,,,
Wish Restaurante & Sushi,Porto,4,2016 2017 2018 2019,full guide listing,,,
Élebê,Porto,1,2016,full guide listing,,,
